,Feature,Estimate,Variance,Lower bound,Upper bound
0,1,0.5415357203417658,0.0007555318492210445,0.48766131870269824,0.5954101219808333
1,x,6.07026839967805,0.12238095011104186,5.384601820394374,6.755934978961727
2,y,3.165846376879095,0.12238095021275999,2.4801797973104693,3.851512956447721
3,(x^2),-27.619597883435148,3.4885965222680286,-31.280443741969055,-23.95875202490124
4,(y)(x),-11.62009770612017,2.0124721034708006,-14.400585582859328,-8.839609829381011
5,(y^2),-6.303942947368071,3.4885965266311465,-9.964788808191251,-2.643097086544891
6,(x^3),32.72699088719094,20.482582766638455,23.856484139754336,41.59749763462754
7,(y)(x^2),41.72653948043724,10.5325151064671,35.365587505064056,48.08749145581042
8,(y^2)(x),18.583313246536406,10.532515107456282,12.222361270864521,24.94426522220829
9,(y^3),-15.796039407447214,20.482582794759388,-24.666546160973063,-6.925532653921367
10,(x^4),-3.9440090179626424,25.249974599930056,-13.79288217295308,5.904864137027795
11,(y)(x^3),-60.431093271455524,13.818271705617857,-67.71698872666909,-53.14519781624197
12,(y^2)(x^2),0.22793496933638835,11.683922905976292,-6.471688769023738,6.927558707696515
13,(y^3)(x),-33.438173900102086,13.818271707088842,-40.72406935570344,-26.15227844450073
14,(y^4),41.049455866732686,25.249974633207735,31.200582705252188,50.89832902821318
15,(x^5),-7.931308144029046,4.30853319439839,-11.999681420856144,-3.8629348672019486
16,(y)(x^4),25.997148726049552,3.0677070486243627,22.564234017234995,29.43006343486411
17,(y^2)(x^3),5.779109465687792,2.8330916466484934,2.480078567110931,9.078140364264653
18,(y^3)(x^2),-5.346187196821267,2.8330916466966203,-8.645218095426149,-2.047156298216385
19,(y^4)(x),19.137427026117585,3.0677070489156426,15.704512317140047,22.570341735095123
20,(y^5),-22.591422576409226,4.308533199492541,-26.659795855641423,-18.523049297177028
