,Feature,Estimate,Variance,Lower bound,Upper bound
0,1,0.6606801456161943,0.05353495470332281,0.2071827564414771,1.1141775347909113
1,x,6.918726364947376,8.671584960315059,1.1470055831054191,12.690447146789332
2,y,1.7036733456688522,8.671584967522532,-4.068047438571717,7.475394129909421
3,(x^2),-31.81894727915344,247.19256638927982,-62.634770536711514,-1.0031240215953652
4,(x)(y),-20.66720517686408,142.59836036308445,-44.07245803110228,2.7380476773741194
5,(y^2),5.453853424646857,247.19256669843864,-25.361969852181588,36.269676701475305
6,(x^3),37.74215482241337,1451.3407234249355,-36.926918582238116,112.41122822706485
7,(x^2)(y),74.53306306458563,746.3056914385784,20.988614760112064,128.0775113690592
8,(x)(y^2),29.237588610010004,746.3056915086693,-24.30685969697794,82.78203691699795
9,(y^3),-50.540566468991486,1451.3407254175095,-125.20963992490029,24.128506986917316
10,(x^4),-6.138468377350705,1789.1452860140464,-89.0431155978266,76.76617884312519
11,(x^3)(y),-98.49978535592834,979.1255664485282,-159.83011044938164,-37.16946026247505
12,(x^2)(y^2),-17.616706592479986,827.8913512030592,-74.01198489467185,38.778571709711876
13,(x)(y^3),-41.341705152526515,979.1255665527583,-102.67203024924419,19.98861994419115
14,(y^4),83.41016422315137,1789.1452883720133,0.5055169480442601,166.31481149825848
15,(x^5),-7.261784249244791,305.29107361614035,-41.508042269702514,26.984473771212933
16,(x^4)(y),39.117553318568035,217.36947034131057,10.220381185932311,68.01472545120376
17,(x^3)(y^2),16.890110694902155,200.74525399566008,-10.880070574756992,44.6602919645613
18,(x^2)(y^3),-3.2497607824855157,200.7452539990702,-31.019942052380532,24.5204204874095
19,(x)(y^4),22.387765988244656,217.36947036194988,-6.509406145762966,51.28493812225228
20,(y^5),-40.863388802933684,305.2910739770982,-75.10964684363677,-6.617130762230602
