,0
0,0.7664205687778882
1,0.8014535187141375
2,0.8343083747453883
3,0.8543891515961497
4,0.849932604149008
5,0.8094995529792459
6,0.7209230437432823
7,0.5799363087294587
8,0.41862875685096534
9,0.3062467017042977
10,0.27915408774844364
11,0.2981441164268829
12,0.30911955139567937
13,0.2985860692629185
14,0.2770524058110505
15,0.251958035748473
16,0.22454537089051602
17,0.19490133703595316
18,0.16418863189501515
19,0.1344193043498001
20,0.7869890024537035
21,0.8471331606838045
22,0.90666143219969
23,0.9496181117585831
24,0.9588675386242601
25,0.9203161040392285
26,0.8240723835343673
27,0.6717174227598047
28,0.4983953417042243
29,0.3705537689750724
30,0.3240460868346905
31,0.326996094047284
32,0.33196255384134893
33,0.32425016068317086
34,0.3088945325984511
35,0.28867529694007676
36,0.2623725148088439
37,0.2295765337845737
38,0.19245793472155714
39,0.154841731930284
40,0.8115793655119599
41,0.8981488722617768
42,0.9857321494343835
43,1.052747848512715
44,1.0765863782552083
45,1.041242946537627
46,0.9415386459892394
47,0.7874901227345118
48,0.6143182949976264
49,0.4760416903303378
50,0.4033705853146598
51,0.37935586418155365
52,0.3723384928289615
53,0.367513226813711
54,0.36083348040385765
55,0.347413970139906
56,0.32225540519148305
57,0.2842723381029163
58,0.23717664546815073
59,0.1874970475209797
60,0.829204363648788
61,0.938148676061108
62,1.0495071363405386
63,1.1369539627663707
64,1.173285719041477
65,1.1409947544514774
66,1.0391629056903606
67,0.8852699312689444
68,0.7145154480297882
69,0.569818827900681
70,0.477419279222006
71,0.43381985776605647
72,0.42133380691411887
73,0.42449917471590365
74,0.43019789909097744
75,0.42564088913227094
76,0.4017412346098108
77,0.3567828353284394
78,0.29653839742859633
79,0.23104483911571247
80,0.8285528328691861
81,0.9502964078354901
82,1.0753206389387309
83,1.1746338352003578
84,1.2184584536157588
85,1.1884625567604885
86,1.0861719713022577
87,0.9334167500303887
88,0.7658029903285781
89,0.6207052766335086
90,0.5224610515727677
91,0.4752513746896032
92,0.46874003373496903
93,0.48594124296692326
94,0.5068865530131422
95,0.5124439704717472
96,0.48994182895365596
97,0.43723589669324886
98,0.3624407677787378
99,0.2794717948154532
100,0.8025825847805533
101,0.9241192306788785
102,1.049080630492089
103,1.1486422527114277
104,1.1932729112417408
105,1.165111996210111
106,1.0666425268578295
107,0.9207057077392711
108,0.7622204397987383
109,0.625910449243985
110,0.5352592636706756
111,0.4973779855808759
112,0.5044785667853614
113,0.5381300742241851
114,0.5742022505660042
115,0.5893566619953843
116,0.5683315602618068
117,0.5088093762663934
118,0.4210711132632403
119,0.3225259422249778
120,0.7516866105478455
121,0.8602281756542483
122,0.971628064911178
123,1.0600195174017095
124,1.0989426635159605
125,1.072543674090091
126,0.9834910010541412
127,0.852966386856224
128,0.712885173783592
129,0.5947762469185591
130,0.5204892645929605
131,0.49758156070786724
132,0.5191307643494164
133,0.5663710642249119
134,0.6136335508407905
135,0.6357169125853978
136,0.6161254979579843
137,0.5526132923975037
138,0.45691466541142695
139,0.34869109632548756
140,0.6834867886170171
141,0.7700107226266995
142,0.8583225748581391
143,0.9274804855065185
144,0.9560985964348307
145,0.9314831429824917
146,0.8561360836560954
147,0.7478239518743823
148,0.6332766079776747
149,0.539124056952006
150,0.4842343854483565
151,0.4754916511731801
152,0.5067851962723379
153,0.5605523239271459
154,0.6120885430651618
155,0.6367740759906232
156,0.618438470344462
157,0.55510554288886
158,0.4588451268457123
159,0.34970737628443205
160,0.6093853773712836
161,0.6704895974921848
162,0.7321160724676906
163,0.7789832584336607
164,0.7955223321365352
165,0.7726133870015646
